languageID,language
401,Mandarin Chinese
402,Spanish
403,Hindi
404,French
405,Arabic
406,Bengali
407,Indonesian
408,Russian
409,Portuguese
410,Japanese
411,German
412,Korean
413,Turkish
414,Vietnamese
415,Urdu
416,Italian
417,Persian
418,Polish
419,Burmese
420,Ukrainian
421,Romanian
422,Tagalog
423,Dutch
424,Pashto
425,Thai
426,Malaysian
427,Greek
428,Biblical Greek
429,Hebrew
430,Biblical Hebrew
431,Hungarian
432,Czech
433,Swahili
434,Farsi
435,Afrikaans
436,Latin
437,Tarahumara
438,Yaque
439,Lingala
440,Nande-Konzo
441,Quechua
442,Tonga
443,Bosnian
444,Serbian